1.2392205,7,"ERN",4
1.1414866,7,"PGK",9
107.08268,8,"KZT",0
2916.5334,8,"CVE",8
-16.069235,11,"WST",1
-75.320465,12,"EGP",1
3.769895,15,"RSD",1
12.501809,20,"JMD",7
202.79364,23,"CDF",4
33.141018,19,"DOP",5
1.6599628,7,"BRL",0
-4.9410796,5,"OMR",2
179.77031,22,"IDR",0
3.5504124,20,"XOF",2
2.1738186,1,"PKR",5
-973.9276,7,"TWD",4
-5.468147,2,"MMK",3
-33.995453,11,"QAR",8
5.4250793,7,"FKP",5
32.083466,18,"CDF",7
9.631796,18,"BZD",2
3.2146313,1,"KMF",5
16.991158,19,"TRY",1
-1.1846611,14,"XAF",4
-25.398642,14,"AFN",6
-1.4607797,22,"BGN",5
11.106534,13,"RSD",1
3.0775554,13,"PGK",5
-5.5232124,5,"MDL",1
49.39367,1,"HUF",5
1346.4701,13,"FKP",9
6.7905936,11,"LRD",3
-4.0599675,0,"BRL",3
6.8169084,22,"ARS",7
199.875,13,"UGX",5
48.827366,11,"CLP",4
-10.749415,0,"BIF",2
33.064903,20,"LRD",3
-3.6512916,5,"GNF",7
-186.64532,22,"FJD",1
6796.125,13,"CZK",5
20.967932,10,"MWK",3
-19.274342,7,"AWG",5
139.23065,1,"BZD",9
-3.1621716,19,"CDF",1
-4.5888257,15,"GMD",0
-3.8692882,9,"SDG",5
96.9624,11,"TND",1
3.2288704,14,"USD",4
-7.786582,23,"AMD",2
23.258022,20,"ARS",2
71.87124,3,"SZL",5
-33.981773,15,"ISK",4
-910.81616,5,"AWG",0
-36.63956,21,"KHR",4
-17.89698,5,"SDG",3
-24.969475,0,"ILS",2
15.714783,17,"GEL",2
-1.763616,13,"LBP",3
2.5364885,2,"JPY",5
-11.950444,12,"BRL",2
3.861475,2,"IRR",0
-1.6266961,4,"KES",1
3.575317,23,"ZMW",4
5300.5454,10,"XPF",0
39.29066,20,"QAR",3
257.92456,11,"SHP",3
8.708823,13,"ALL",5
5.41011,19,"SRD",6
1.45868,5,"LBP",4
21.781336,12,"PLN",3
-4.3139925,2,"RSD",3
100.06405,2,"AMD",3
10.83565,18,"XPF",2
1875.5212,16,"USD",0
-14.301191,7,"PYG",3
-69.50538,13,"SGD",8
3.913143,12,"AMD",9
4.5596747,7,"PKR",4
1.2127229,9,"KES",2
4286.4033,6,"AMD",5
-105.42424,17,"TWD",1
142.13278,22,"CNY",0
-823.37695,4,"ISK",1
-28.019241,8,"PYG",7
14.644322,13,"HTG",8
-6.077558,11,"MOP",3
-9.739225,3,"BBD",1
12.788903,13,"SZL",3
27.68108,10,"TRY",9
8.654456,0,"TMT",4
28.593836,10,"HUF",5
-15.091108,8,"KPW",7
1.1392539,6,"TTD",8
-11.16433,12,"TND",3
9.990777,15,"AFN",9
-124.28704,23,"MDL",5
-38.50228,11,"BOB",0
-42.17401,12,"SEK",7
203926.86,2,"HTG",4
-12.602272,11,"INR",5
11.888736,2,"FKP",8
23.184528,10,"MDL",0
2.770733,11,"VUV",5
13.8220625,0,"CRC",7
18.993174,0,"AOA",2
-1.9536215,12,"TWD",3
16.076567,6,"SAR",9
679.74286,15,"AUD",7
25.822329,0,"KHR",3
-5.6998343,10,"BGN",3
-279.4928,11,"SVC",9
-6.151653,15,"KMF",4
26.38852,8,"ARS",3
3.6437147,17,"UYU",3
